Japan, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 19/01/2026
Year    Age        ASFR
1947     12-    0.00000
1947     13     0.00000
1947     14     0.00006
1947     15     0.00040
1947     16     0.00184
1947     17     0.00749
1947     18     0.02173
1947     19     0.04687
1947     20     0.08778
1947     21     0.13279
1947     22     0.17476
1947     23     0.22164
1947     24     0.24992
1947     25     0.26800
1947     26     0.28205
1947     27     0.27862
1947     28     0.27367
1947     29     0.26999
1947     30     0.26109
1947     31     0.24947
1947     32     0.23886
1947     33     0.22530
1947     34     0.21009
1947     35     0.19632
1947     36     0.17692
1947     37     0.15809
1947     38     0.14052
1947     39     0.12350
1947     40     0.09734
1947     41     0.07423
1947     42     0.05534
1947     43     0.03528
1947     44     0.02183
1947     45     0.01203
1947     46     0.00620
1947     47     0.00339
1947     48     0.00222
1947     49     0.00201
1947     50     0.00151
1947     51     0.00112
1947     52     0.00085
1947     53     0.00068
1947     54     0.00052
1947     55+    0.00184
1948     12-    0.00000
1948     13     0.00000
1948     14     0.00006
1948     15     0.00042
1948     16     0.00228
1948     17     0.00872
1948     18     0.02492
1948     19     0.05481
1948     20     0.09994
1948     21     0.14773
1948     22     0.19437
1948     23     0.23595
1948     24     0.26144
1948     25     0.26999
1948     26     0.26999
1948     27     0.26698
1948     28     0.25378
1948     29     0.24486
1948     30     0.23658
1948     31     0.22401
1948     32     0.21337
1948     33     0.20316
1948     34     0.19008
1948     35     0.17874
1948     36     0.16580
1948     37     0.15028
1948     38     0.13497
1948     39     0.11804
1948     40     0.09926
1948     41     0.07517
1948     42     0.05520
1948     43     0.03640
1948     44     0.02057
1948     45     0.01060
1948     46     0.00565
1948     47     0.00288
1948     48     0.00160
1948     49     0.00125
1948     50     0.00082
1948     51     0.00061
1948     52     0.00053
1948     53     0.00035
1948     54     0.00027
1948     55+    0.00081
1949     12-    0.00000
1949     13     0.00000
1949     14     0.00005
1949     15     0.00040
1949     16     0.00222
1949     17     0.00816
1949     18     0.02233
1949     19     0.05030
1949     20     0.09562
1949     21     0.14369
1949     22     0.19109
1949     23     0.23705
1949     24     0.25996
1949     25     0.27584
1949     26     0.27991
1949     27     0.27523
1949     28     0.27232
1949     29     0.25561
1949     30     0.24220
1949     31     0.23068
1949     32     0.21457
1949     33     0.19739
1949     34     0.18397
1949     35     0.16825
1949     36     0.15209
1949     37     0.13631
1949     38     0.12048
1949     39     0.10122
1949     40     0.08325
1949     41     0.06526
1949     42     0.04459
1949     43     0.02891
1949     44     0.01623
1949     45     0.00804
1949     46     0.00389
1949     47     0.00217
1949     48     0.00131
1949     49     0.00071
1949     50     0.00034
1949     51     0.00033
1949     52     0.00019
1949     53     0.00017
1949     54     0.00010
1949     55+    0.00028
1950     12-    0.00000
1950     13     0.00000
1950     14     0.00005
1950     15     0.00027
1950     16     0.00171
1950     17     0.00665
1950     18     0.01815
1950     19     0.04113
1950     20     0.08021
1950     21     0.12602
1950     22     0.17098
1950     23     0.20869
1950     24     0.23545
1950     25     0.24596
1950     26     0.24996
1950     27     0.24413
1950     28     0.23380
1950     29     0.22518
1950     30     0.20709
1950     31     0.19030
1950     32     0.17923
1950     33     0.16246
1950     34     0.14826
1950     35     0.13385
1950     36     0.11933
1950     37     0.10535
1950     38     0.09163
1950     39     0.07790
1950     40     0.06244
1950     41     0.04749
1950     42     0.03338
1950     43     0.02038
