Japan, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 19/01/2026
Year       MAB     MAB40
1947     30.47     29.59
1948     30.19     29.29
1949     29.92     29.16
1950     29.62     28.95
1951     29.54     28.94
1952     29.38     28.85
1953     29.19     28.72
1954     29.03     28.61
1955     28.85     28.47
1956     28.64     28.30
1957     28.44     28.14
1958     28.22     27.96
1959     28.06     27.82
1960     27.88     27.69
1961     27.80     27.63
1962     27.70     27.56
1963     27.71     27.58
1964     27.69     27.58
1965     27.70     27.59
1966     27.65     27.53
1967     27.76     27.67
1968     27.77     27.68
1969     27.78     27.69
1970     27.75     27.65
1971     27.73     27.64
1972     27.66     27.57
1973     27.64     27.55
1974     27.55     27.46
1975     27.48     27.40
1976     27.50     27.42
1977     27.59     27.51
1978     27.66     27.58
1979     27.71     27.64
1980     27.76     27.69
1981     27.84     27.77
1982     27.93     27.86
1983     28.02     27.95
1984     28.13     28.05
1985     28.26     28.19
1986     28.38     28.31
1987     28.52     28.45
1988     28.68     28.59
1989     28.81     28.72
1990     28.94     28.84
1991     29.00     28.90
1992     29.09     28.99
1993     29.19     29.08
1994     29.29     29.18
1995     29.39     29.26
1996     29.50     29.37
1997     29.57     29.42
1998     29.61     29.46
1999     29.63     29.47
2000     29.67     29.49
2001     29.67     29.49
2002     29.71     29.51
2003     29.82     29.60
2004     29.91     29.69
2005     30.00     29.75
2006     30.09     29.84
2007     30.23     29.95
2008     30.29     30.00
2009     30.40     30.09
2010     30.53     30.20
2011     30.63     30.29
2012     30.81     30.44
2013     30.96     30.57
2014     31.08     30.66
2015     31.20     30.78
2016     31.30     30.85
2017     31.38     30.92
2018     31.45     30.97
2019     31.52     31.02
2020     31.60     31.10
2021     31.78     31.25
2022     31.88     31.34
2023     32.00     31.43
2024     32.06     31.49
