Portugal, Period total fertility rates and period total fertility rates by age 40
Last modified: 13/01/2025
Year       TFR     TFR40
1940     3.203     2.887
1941     3.112     2.821
1942     3.143     2.849
1943     3.289     2.983
1944     3.317     3.005
1945     3.407     3.096
1946     3.316     3.013
1947     3.192     2.907
1948     3.482     3.165
1949     3.306     3.001
1950     3.156     2.870
1951     3.173     2.884
1952     3.203     2.906
1953     3.043     2.773
1954     2.963     2.703
1955     3.144     2.867
1956     3.021     2.765
1957     3.138     2.882
1958     3.148     2.895
1959     3.150     2.904
1960     3.159     2.922
1961     3.224     2.990
1962     3.287     3.051
1963     3.196     2.967
1964     3.308     3.075
1965     3.245     3.023
1966     3.240     3.022
1967     3.212     2.997
1968     3.147     2.943
1969     3.111     2.911
1970     3.001     2.820
1971     3.000     2.819
1972     2.835     2.668
1973     2.747     2.579
1974     2.693     2.538
1975     2.756     2.610
1976     2.799     2.668
1977     2.677     2.558
1978     2.445     2.341
1979     2.313     2.221
1980     2.253     2.167
1981     2.137     2.061
1982     2.091     2.025
1983     1.973     1.912
1984     1.932     1.879
1985     1.755     1.706
1986     1.697     1.652
1987     1.648     1.607
1988     1.632     1.594
1989     1.584     1.551
1990     1.557     1.526
1991     1.560     1.529
1992     1.539     1.510
1993     1.518     1.489
1994     1.446     1.419
1995     1.410     1.382
1996     1.444     1.417
1997     1.473     1.444
1998     1.474     1.446
1999     1.502     1.471
2000     1.549     1.514
2001     1.450     1.415
2002     1.465     1.429
2003     1.439     1.402
2004     1.404     1.365
2005     1.414     1.375
2006     1.373     1.333
2007     1.349     1.310
2008     1.393     1.351
2009     1.344     1.301
2010     1.390     1.343
2011     1.349     1.300
2012     1.284     1.237
2013     1.213     1.166
2014     1.236     1.184
2015     1.313     1.256
2016     1.367     1.300
2017     1.385     1.314
2018     1.424     1.347
2019     1.438     1.354
2020     1.421     1.334
2021     1.352     1.263
2022     1.426     1.335
2023     1.448     1.354
