United States, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 25/03/2025
Year    Age        Total
1933     12-       46.85
1933     13       531.69
1933     14      2120.63
1933     15      7945.19
1933     16     21998.16
1933     17     44931.04
1933     18     76672.49
1933     19    101004.36
1933     20    116658.52
1933     21    121380.30
1933     22    128076.99
1933     23    131426.38
1933     24    126384.51
1933     25    123613.47
1933     26    116037.22
1933     27    105951.69
1933     28    105564.03
1933     29     91491.28
1933     30     88836.50
1933     31     67101.97
1933     32     74073.10
1933     33     70736.73
1933     34     54745.85
1933     35     53854.13
1933     36     48169.48
1933     37     42181.33
1933     38     42303.99
1933     39     33137.26
1933     40     27194.51
1933     41     17031.36
1933     42     15764.00
1933     43     10395.11
1933     44      6307.29
1933     45      3956.36
1933     46      1785.12
1933     47       897.79
1933     48       554.58
1933     49       247.99
1933     50        56.62
1933     51        16.78
1933     52        16.77
1933     53        18.87
1933     54        13.64
1933     55+        0.00
1934     12-       19.23
1934     13       499.01
1934     14      2407.03
1934     15      8551.16
1934     16     23524.88
1934     17     47615.43
1934     18     81196.11
1934     19    106433.28
1934     20    124318.63
1934     21    129751.23
1934     22    134340.94
1934     23    135326.53
1934     24    135536.47
1934     25    126337.93
1934     26    122962.16
1934     27    111203.27
1934     28    109865.69
1934     29     96847.40
1934     30     93469.03
1934     31     71133.15
1934     32     72687.66
1934     33     66103.20
1934     34     67125.94
1934     35     51512.96
1934     36     48235.80
1934     37     41357.08
1934     38     42138.69
1934     39     33152.62
1934     40     26681.97
1934     41     17174.08
1934     42     16064.90
1934     43     10266.47
1934     44      6333.72
1934     45      3795.69
1934     46      1806.64
1934     47       884.14
1934     48       608.44
1934     49       253.95
1934     50        74.27
1934     51        15.48
1934     52        12.38
1934     53         5.16
1934     54         6.18
1934     55+        0.00
1935     12-       29.30
1935     13       547.63
1935     14      2583.55
1935     15      9377.67
1935     16     24466.22
1935     17     48509.93
1935     18     81448.61
1935     19    107126.20
1935     20    125238.87
1935     21    131887.00
1935     22    136551.32
1935     23    136366.57
1935     24    131902.49
1935     25    128712.56
1935     26    118987.82
1935     27    112513.33
1935     28    109604.34
1935     29     95944.77
1935     30     93588.01
1935     31     71683.27
1935     32     72366.59
1935     33     60959.20
1935     34     59724.23
1935     35     59965.31
1935     36     44534.77
1935     37     39415.62
1935     38     39498.08
1935     39     31361.09
1935     40     25725.30
1935     41     16230.39
1935     42     15253.31
1935     43      9860.54
1935     44      5925.07
1935     45      3677.80
1935     46      1702.29
1935     47       909.40
1935     48       507.27
1935     49       262.92
1935     50        78.71
1935     51        21.75
1935     52        21.75
1935     53        20.70
1935     54        13.46
1935     55+        0.00
1936     12-       51.57
1936     13       447.93
1936     14      2444.86
1936     15      9018.29
1936     16     25375.02
1936     17     47785.09
1936     18     81489.92
1936     19    106137.74
1936     20    124380.09
1936     21    134187.71
1936     22    137373.70
1936     23    138830.05
1936     24    133689.53
1936     25    128193.83
1936     26    122404.17
1936     27    110135.47
1936     28    110180.19
1936     29     96139.65
1936     30     92728.94
1936     31     72007.16
1936     32     72307.94
1936     33     62130.85
1936     34     55424.11
1936     35     52517.23
1936     36     51851.70
1936     37     36110.61
1936     38     36856.46
1936     39     29143.43
1936     40     24143.34
1936     41     15372.63
1936     42     14164.53
1936     43      9266.62
1936     44      5683.94
1936     45      3403.11
1936     46      1724.77
1936     47       786.52
1936     48       493.39
1936     49       242.57
1936     50        81.18
1936     51        21.30
1936     52        27.40
1936     53        16.23
1936     54        16.23
1936     55+        3.00
1937     12-       71.00
1937     13       511.20
1937     14      2565.20
1937     15      9541.15
1937     16     26941.66
1937     17     53900.62
1937     18     84584.63
1937     19    110695.54
1937     20    128054.38
1937     21    136934.07
1937     22    143235.05
1937     23    145803.45
1937     24    139416.96
1937     25    132191.12
1937     26    124718.40
1937     27    116839.48
1937     28    110398.39
1937     29    100438.57
1937     30     94426.14
1937     31     75003.41
1937     32     73798.87
1937     33     62914.26
1937     34     56795.64
1937     35     49715.68
1937     36     46372.08
1937     37     43285.61
1937     38     34178.16
1937     39     28201.95
1937     40     22772.50
1937     41     15077.94
1937     42     13448.30
1937     43      8639.46
1937     44      5348.93
1937     45      3227.84
1937     46      1644.35
1937     47       828.36
1937     48       419.85
1937     49       211.48
1937     50        76.98
1937     51        30.39
1937     52        38.48
1937     53        23.30
1937     54        12.15
1937     55+        4.00
1938     12-       80.78
1938     13       505.91
1938     14      2705.24
1938     15      9513.66
1938     16     27538.82
1938     17     56234.32
1938     18     92091.51
1938     19    113175.06
1938     20    134296.65
1938     21    141239.35
1938     22    147421.62
1938     23    151591.14
1938     24    146915.35
1938     25    139410.60
1938     26    130853.80
1938     27    120439.04
1938     28    118937.74
1938     29    102410.97
1938     30     99449.33
1938     31     78108.64
1938     32     76590.56
1938     33     64849.85
1938     34     58966.99
1938     35     51450.52
1938     36     44499.61
1938     37     39914.51
1938     38     40335.51
1938     39     26675.85
1938     40     22692.40
1938     41     14553.71
1938     42     13306.63
1938     43      8687.99
1938     44      5191.82
1938     45      3178.56
1938     46      1523.21
1938     47       772.36
1938     48       476.33
1938     49       199.75
1938     50        80.41
1938     51        32.99
1938     52        41.24
1938     53        12.37
1938     54         8.25
1938     55+        1.00
1939     12-        1.44
1939     13       180.39
1939     14      3176.42
1939     15     11078.25
1939     16     29310.90
1939     17     56771.44
1939     18     86171.43
1939     19    112665.05
1939     20    132802.76
1939     21    140810.06
1939     22    142019.14
1939     23    142457.16
1939     24    147137.55
1939     25    144743.66
1939     26    131499.64
1939     27    120024.83
1939     28    111456.24
1939     29    105869.63
1939     30     95738.58
1939     31     82769.94
1939     32     73628.48
1939     33     67135.14
1939     34     62009.65
1939     35     54852.36
1939     36     46597.58
1939     37     39339.06
1939     38     32704.73
1939     39     26531.88
1939     40     21126.93
1939     41     15959.89
1939     42     11129.69
1939     43      7275.96
1939     44      4511.59
1939     45      2729.45
1939     46      1614.25
1939     47       880.03
1939     48       451.36
1939     49       222.15
1939     50       113.39
1939     51        54.11
1939     52        21.38
1939     53         7.77
1939     54         2.64
1939     55+        4.01
1940     12-        1.43
1940     13       175.53
1940     14      3085.96
1940     15     10867.77
1940     16     29036.96
1940     17     57086.76
1940     18     87970.32
1940     19    116331.11
1940     20    138819.19
1940     21    147837.76
1940     22    149164.17
1940     23    149518.18
1940     24    154437.16
1940     25    152163.85
1940     26    138280.45
1940     27    126510.72
1940     28    117857.35
1940     29    112227.06
1940     30    101629.37
1940     31     87900.27
1940     32     77679.58
1940     33     69999.34
1940     34     63742.94
1940     35     55503.94
1940     36     46556.20
