United States, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 25/03/2025
Year       MAB     MAB40
1933     27.97     27.21
1934     27.84     27.11
1935     27.71     27.01
1936     27.60     26.92
1937     27.44     26.80
1938     27.36     26.75
1939     27.33     26.75
1940     27.28     26.72
1941     27.13     26.62
1942     26.98     26.52
1943     27.18     26.72
1944     27.46     26.96
1945     27.74     27.22
1946     27.31     26.86
1947     26.84     26.43
1948     26.69     26.27
1949     26.64     26.23
1950     26.65     26.25
1951     26.56     26.17
1952     26.62     26.23
1953     26.57     26.19
1954     26.54     26.16
1955     26.50     26.13
1956     26.40     26.04
1957     26.37     26.01
1958     26.35     26.00
1959     26.35     26.00
1960     26.36     26.01
1961     26.41     26.05
1962     26.41     26.05
1963     26.44     26.09
1964     26.51     26.15
1965     26.52     26.15
1966     26.39     26.03
1967     26.31     25.95
1968     26.22     25.88
1969     26.14     25.83
1970     26.04     25.75
1971     25.99     25.71
1972     25.89     25.62
1973     25.81     25.55
1974     25.75     25.52
1975     25.77     25.54
1976     25.85     25.64
1977     25.89     25.69
1978     25.93     25.74
1979     25.97     25.79
1980     25.98     25.80
1981     26.06     25.89
1982     26.13     25.96
1983     26.21     26.04
1984     26.31     26.13
1985     26.36     26.18
1986     26.42     26.24
1987     26.51     26.32
1988     26.55     26.37
1989     26.55     26.35
1990     26.56     26.36
1991     26.52     26.31
1992     26.58     26.36
1993     26.64     26.40
1994     26.71     26.46
1995     26.81     26.56
1996     26.94     26.67
1997     27.04     26.76
1998     27.14     26.85
1999     27.25     26.96
2000     27.39     27.09
2001     27.53     27.22
2002     27.67     27.35
2003     27.83     27.50
2004     27.90     27.57
2005     27.94     27.60
2006     27.91     27.57
2007     27.95     27.59
2008     28.02     27.65
2009     28.15     27.76
2010     28.33     27.94
2011     28.51     28.11
2012     28.64     28.23
2013     28.81     28.39
2014     28.98     28.56
2015     29.12     28.68
2016     29.29     28.84
2017     29.40     28.93
2018     29.53     29.05
2019     29.59     29.10
2020     29.66     29.17
2021     29.82     29.33
2022     29.91     29.39
2023     29.96     29.43
